# 2015 개정 교육과정 중학교 국어 교과서 수록 문학작품
# 출처: http://hutobol.cafe24.com/wiki/index.php/2015개정_국어과_교육과정_교과서_수록_문학작품/중학교_국어(표)
# 받은 날: 2026-09-22 · 학교별 교과서는 CLAUDE.md 를 볼 것
# 유효 범위(2022 개정 연차 적용): 중1 ~2025 · 중2 ~2026 · 중3 ~2027. 그 뒤 시험지는 새 교과서다
출판사	작품	지은이	갈래	출전	쓰임
천재교육(노미숙 외)	"게릴라 가드닝"으로 쓰레기 무단 투기 막는다	이상문	기타	《뉴스 1 코리아》	학습활동 제재
천재교육(노미숙 외)	2년 약정	하상욱	현대시	『서울 시』(중앙북스)	학습활동 제재
천재교육(노미숙 외)	[[]]	고경석	기타(기사)	《한국일보》	학습활동 제재
천재교육(노미숙 외)	[[]]	곽명희	기타(기사)	《통일신문》	학습활동 제재
천재교육(노미숙 외)	[[]]	리유미, 김옥경		『민족의 자랑 조선옷』(평양출판사)	학습활동 제재
천재교육(노미숙 외)	[[]]	손석희	기타(뉴스)	JTBC 뉴스룸	학습활동 제재
천재교육(노미숙 외)	가난한 사랑 노래	신경림	현대시	『가난한 사랑 노래』	바탕글
천재교육(노미숙 외)	개를 훔치는 완벽한 방법	바버라 오코너	시나리오	『HOW TO STEAL A DOG』	추가 읽기 자료
천재교육(노미숙 외)	고래들의 따뜻한 동료애	최재천	기타(설명글)	『생명이 있는 것은 다 아름답다』(효형출판)	바탕글
천재교육(노미숙 외)	고향	백석	현대시	『나와 나타샤와 흰 당나귀』(다산북스)	바탕글
천재교육(노미숙 외)	고향	정지용	현대시	『향수』(민음사)	학습활동 제재
천재교육(노미숙 외)	공작나방	헤르만 헤세	현대소설	베네딕트 하트르만의 편지 기록	바탕글
천재교육(노미숙 외)	광고	저자 미상	기타	《한국방송광고진흥공사 공익 광고》	추가 읽기 자료
천재교육(노미숙 외)	광고	저자 미상	기타	《한국방송광고진흥공사 공익 광고》	학습활동 제재
천재교육(노미숙 외)	광고	저자 미상	기타	《한국방송광고진흥공사 공익 광고》	학습활동 제재
천재교육(노미숙 외)	광장	최인훈	현대소설	《새벽》	학습활동 제재
천재교육(노미숙 외)	국제연합 총회 연설	말랄라 유사프자이	기타(연설문)		추가 읽기 자료
천재교육(노미숙 외)	군사들에게 종이 옷을 보낸 인조	조희진	기타(설명글)	『조선 시대 옷장을 열다』(스콜라)	추가 읽기 자료
천재교육(노미숙 외)	기억 속의 들꽃	윤홍길	현대소설	『기억 속의 들꽃』(한빛문고)	바탕글
천재교육(노미숙 외)	꽃향기를 그린 그림	정민	기타	『정민 선생님이 들려주는 한시 이야기』(보림)	추가 읽기 자료
천재교육(노미숙 외)	꿩	이오덕	현대소설	《동아일보》	바탕글
천재교육(노미숙 외)	나무들은 몸이 아팠다.	이상국	현대수필	《이투데이》	학습활동 제재
천재교육(노미숙 외)	나무를 심은 사람	장 지오노	현대소설	『The man who planted trees』	학습활동 제재
천재교육(노미숙 외)	낙타	손동연	현대시	『참 좋은 짝』(푸른책들)	추가 읽기 자료
천재교육(노미숙 외)	낙화	이형기	현대시	『낙화(시인생각)	바탕글
천재교육(노미숙 외)	남북한 어휘 이질화에 대한 단상	한용운	기타(칼럼)	《e-행복한 통일》	학습활동 제재
천재교육(노미숙 외)	남의 도움만을 기대하지 말라	정약용	기타(편지글)	『여유당전서』(신조선사)	추가 읽기 자료
천재교육(노미숙 외)	내 마음의 풍금	이영재	시나리오	『내 마음의 풍금』(커뮤니케이션 북스)	추가 읽기 자료
천재교육(노미숙 외)	네 꿈을 펼쳐라	구민정(학생)	현대희곡	『학교에서 연극하자』(다른)	학습활동 제재
천재교육(노미숙 외)	뉴스 대본	저자 미상	기타	케이비에스《뉴스 12》	학습활동 제재
천재교육(노미숙 외)	느림보 나무늘보의 역발상 생존법 블루 오션 전략	오형규	기타	『경제학, 인문의 경계를 넘나들다』(한국문학사)	학습활동 제재
천재교육(노미숙 외)	닭 타고 가면 되지	서거정	기타(설화)	『태평한화골계전』	추가 읽기 자료
천재교육(노미숙 외)	대청마루는 천연의 자연 에어컨	김준래		《사이언스타임즈》	학습활동 제재
천재교육(노미숙 외)	도서관 도서 분류의 비밀	이재웅		《수학동아》	추가 읽기 자료
천재교육(노미숙 외)	도쿄 기자 회견 연설	여운형	기타(연설문)		추가 읽기 자료
천재교육(노미숙 외)	독도에는 무엇이 있을까	작자미상	기타(설명글)	『중학교 국어 1-2교과서』(천재교육)	바탕글
천재교육(노미숙 외)	동백꽃	김유정	현대소설	『20세기 한국 소설 5 - 채만식, 김유정』(창비)	바탕글
천재교육(노미숙 외)	돼지고기 두어 근 끊어 왔다는 말	안도현	현대시	『간절하게 참 철없이』(창비)	추가 읽기 자료
천재교육(노미숙 외)	딱지	이준관	현대시	『천국의 계단』(서정시학)	바탕글
천재교육(노미숙 외)	마음의 키가 자라는 행복	작자미상	현대수필	『중학교 국어 1-2교과서』(천재교육)	바탕글
천재교육(노미숙 외)	만화와 포장지도 예술이 되지	전성수	기타	『창의력이 빵! 터지는 즐거운 미술 감상』(토토북)	바탕글
천재교육(노미숙 외)	맛있는 책, 일생의 보약	성석제	현대수필	《국립어린이청소년도서관 누리집》	바탕글
천재교육(노미숙 외)	먹었으면 좀 가져가!	고한솔	기타(기사)	《한겨레》	학습활동 제재
천재교육(노미숙 외)	먼 후일	김소월	현대시	『김소월 시집』(하서)	바탕글
천재교육(노미숙 외)	모두가 즐거운 착한 여행	장미정	기타(주장하는 글)	『모두를 위한 환경 개념 사전』(한울림)	추가 읽기 자료
천재교육(노미숙 외)	모든 과목을 공부해햐한다	작자미상	기타(발표문)	『중학교 국어 1-2교과서』(천재교육)	추가 읽기 자료
천재교육(노미숙 외)	물리학자 정재승	정재승	기타	네이버캐스트《지서재, 지금의 나를 만든 서재》	학습활동 제재
천재교육(노미숙 외)	박씨전	저자 미상	고전소설	『박씨전』	바탕글
천재교육(노미숙 외)	밤도 대낮처럼 환하게, 인공 빛의 두 얼굴	건강다이제스트 편집부	기타	《건강다이제스트》, 2014년 7월 숲속 호(통권 372호)	추가 읽기 자료
천재교육(노미숙 외)	방송 대본	저자 미상	기타	에스비에스《생활의 달인》	학습활동 제재
천재교육(노미숙 외)	백범일지	김구		『백범일지』(국사원)	학습활동 제재
천재교육(노미숙 외)	버터플라이	강현민,이재학	기타	국가대표ost	추가 읽기 자료
천재교육(노미숙 외)	벌레 먹은 나뭇잎	이생진	현대시	『기다림』(지식을만드는지식)	추가 읽기 자료
천재교육(노미숙 외)	벼락	이성미	현대시	『너무 오래 머물렀을 때』(문학과 지성사)	학습활동 제재
천재교육(노미숙 외)	별처럼 꽃처럼	오세영	현대시	『꽃들은 별을 우러르며 산다』(시와시학사)	추가 읽기 자료
천재교육(노미숙 외)	봄나무	이상국	현대시	『어느 농사꾼의 별에서』(창비)	바탕글
천재교육(노미숙 외)	분천강호가	이숙량	고전시가(시조)	『분천강호록』	학습활동 제재
천재교육(노미숙 외)	비가 오면	이상희	현대시	『문학 시간에 시 읽기 4』(휴머니스트)	학습활동 제재
천재교육(노미숙 외)	비린내라뇨!	함민복	현대시	『바닷물 에고, 짜다』(비룡소)	추가 읽기 자료
천재교육(노미숙 외)	빈곤 국가 학교 짓기 후원, 어떻게 할까?	저자미상	기타(토의문)	『중학교 국어 1-1교과서』(천재교육)	바탕글
천재교육(노미숙 외)	빗방울	서정숙	현대시	『아가 입은 앵두』(보물창고)	학습활동 제재
천재교육(노미숙 외)	사라진 명태의 귀환	김방홍	기타	케이비에스《인터넷뉴스》	추가 읽기 자료
천재교육(노미숙 외)	사막을 같이 가는 벗	양귀자	현대수필	『삶의 묘약』(서울 : 샘터)	추가 읽기 자료
천재교육(노미숙 외)	사서를 백여 번 읽었더라면	유성룡	고전산문	『서애선생문집』	추가 읽기 자료
천재교육(노미숙 외)	사소한 무질서가 불러온 결과	저자 미상	기타	《사이언스》	학습활동 제재
천재교육(노미숙 외)	살구색 크레파스	김기성	기타(기사)	《한겨례》	추가 읽기 자료
천재교육(노미숙 외)	새 닭이 된 헌 닭	김원석	현대수필	『새 닭이 된 헌 닭』(중앙출판사)	학습활동 제재
천재교육(노미숙 외)	새로운 길	윤동주	현대시	《문우》	바탕글
천재교육(노미숙 외)	성탄제	김종길	현대시	『솔개』(시인생각)	학습활동 제재
천재교육(노미숙 외)	소나기	황순원	현대소설	《신문학》	학습활동 제재
천재교육(노미숙 외)	소를 웃긴 꽃	윤희상	현대시	『소를 웃긴 꽃』(문학동네)	학습활동 제재
천재교육(노미숙 외)	슴슴한 그대	민예지,김태희	시나리오	(EBS TV)	추가 읽기 자료
천재교육(노미숙 외)	식사 속도와 성인병	박광식	기타	케이비에스《인터넷뉴스》	추가 읽기 자료
천재교육(노미숙 외)	신대륙의 숨은 보물, 고추 이야기	홍익희	기타	『세상을 바꾼 음식 이야기』(세종서적)	바탕글
천재교육(노미숙 외)	실비	강정안	현대시	『강정안 동요집 샘물』(교육도서보급사)	추가 읽기 자료
천재교육(노미숙 외)	실수	나희덕	현대수필	『반통의 물』(창비)	바탕글
천재교육(노미숙 외)	쓰레기통 없는 △△시' 6년 만에 결국 포기	최두선	기타(기사)	《한국일보》	학습활동 제재
천재교육(노미숙 외)	쓰레기통의 기능	박찬숙, 권영걸 외		『유럽의 도시, 공공 디자인을 입다』(도서출판 가인)	학습활동 제재
천재교육(노미숙 외)	아시아의 보물을 찾아 떠나는 여행	작자미상	기타	『중학교 국어 1-1교과서』(천재교육)	바탕글
천재교육(노미숙 외)	양반전	박지원	고전소설	《연암집》	바탕글
천재교육(노미숙 외)	어린왕자	생텍쥐페리	고전소설	『어린왕자』(Reynal&Hitchcock)	학습활동 제재
천재교육(노미숙 외)	엄마걱정	기형도	현대시	『입 속의 검은 잎』(문학과지성사)	바탕글
천재교육(노미숙 외)	연	이청준	현대소설	《동아일보 2.5》	추가 읽기 자료
천재교육(노미숙 외)	영화 평론가 이동진	이동진	기타	네이버캐스트《지서재, 지금의 나를 만든 서재》	학습활동 제재
천재교육(노미숙 외)	오-매 단풍 들것네	김영랑	현대시	《시문학》	학습활동 제재
천재교육(노미숙 외)	오늘이	작자미상	기타	발표지미상	추가 읽기 자료
천재교육(노미숙 외)	완득이	김려령	현대소설	『완득이』(창비)	바탕글
천재교육(노미숙 외)	완득이	김명환	시나리오	《(주)에이콤인터내셔날》	바탕글
천재교육(노미숙 외)	외향적인 사람이 강하다?	문세영	기타	《코메디닷컴뉴스》	추가 읽기 자료
천재교육(노미숙 외)	우리나라 고추 소비량	이도현	기타(기사)	《한국농업신문》	학습활동 제재
천재교육(노미숙 외)	우리나라의 나이 계산법을 통일하자	작자미상	기타(발표문)	『중학교 국어 1-2교과서』(천재교육)	바탕글
천재교육(노미숙 외)	우리는 왜 간지럼을 느낄까	서동준	기타	《동아사이언스》	바탕글
천재교육(노미숙 외)	우유 한 잔의 배려	작자미상	기타	『중학교 국어 1-2교과서』(천재교육)	추가 읽기 자료
천재교육(노미숙 외)	운수 좋은 날	현진건	현대소설	『운수 좋은 날』(문학과지성사)	추가 읽기 자료
천재교육(노미숙 외)	웹툰 작가와의 면담	작자미상	기타(면담문)	『중학교 국어 1-2교과서』(천재교육)	추가 읽기 자료
천재교육(노미숙 외)	유기 동물 발생 현황	저자 미상	기타	《농림축산식품부》	학습활동 제재
천재교육(노미숙 외)	음악인 전제덕	전제덕	기타	네이버캐스트《지서재, 지금의 나를 만든 서재》	학습활동 제재
천재교육(노미숙 외)	일상 속에서의 대화들이 말의 거리를 지운다	김인숙	기타	《겨레말 누리판》	추가 읽기 자료
천재교육(노미숙 외)	자료 글	에이치케이문자연구사업단	기타	『10대에게 권하는 문자 이야기』(글담출판)	학습활동 제재
천재교육(노미숙 외)	자료 글	이선애	기타	《아시아경제》	학습활동 제재
천재교육(노미숙 외)	자료 글	장석주	기타	『내가 읽은 책이 곧 나의 우주다』(샘터)	학습활동 제재
천재교육(노미숙 외)	자료 글	전민희	기타	《중앙일보》	학습활동 제재
천재교육(노미숙 외)	자료 글	한글학회	기타	『훈민정음 옮김과 해석』(해성사)	학습활동 제재
천재교육(노미숙 외)	자료 글 (가)	박기원	기타	『재미있는 과학 수사 이야기』(가나출판사)	학습활동 제재
천재교육(노미숙 외)	자료 글 (나)	[[]]	기타	『모발학 사전』(광문각)	학습활동 제재
천재교육(노미숙 외)	자료 글 (다)	[[]]	기타	《헬스조선》	학습활동 제재
천재교육(노미숙 외)	자료 글 (바)	[[]]	기타	《공감신문》	학습활동 제재
천재교육(노미숙 외)	재활용 쓰레기 배출 - 비우고 헹구고 제거하고 섞이지 않게!	김보선	기타(기사)	《여성조선》	학습활동 제재
천재교육(노미숙 외)	젓가락으로 시작하는 밥상머리 교육	윤상원	기타	《충북일보》	바탕글
천재교육(노미숙 외)	정어리 같은 내 인생	샤론 크리치	현대소설	『정어리 같은 내 인생』(비룡소)	추가 읽기 자료
천재교육(노미숙 외)	집을 수리하고 나서	이규보	고전산문	『동국이상국집』	추가 읽기 자료
천재교육(노미숙 외)	착한 소비, 내 지갑 속의 투표용지	저자 미상	기타	케이비에스《명견만리》	바탕글
천재교육(노미숙 외)	책만 읽는 바보	이덕무	고전수필	『청장관 전서』	추가 읽기 자료
천재교육(노미숙 외)	첨단 기술의 승리? 신종 도핑 반칙?	최성우	기타	《중앙일보》	추가 읽기 자료
천재교육(노미숙 외)	첫눈처럼 너에게 가겠다	이미나 외	현대시(가요)	《한국음악저작권협회》	학습활동 제재
천재교육(노미숙 외)	청서의 밤무지	한태수	현대소설	『큰너구리가 배워준 요령』(문학예술출판사)	학습활동 제재
천재교육(노미숙 외)	청포도	이육사	현대시	《문장》	바탕글
천재교육(노미숙 외)	컬투에 미치다	김은희	기타(사연 글)	『컬투에 미치다』(헤르메스미디어)	추가 읽기 자료
천재교육(노미숙 외)	태권도 부원과의 면담	작자미상	기타(면담문)	『중학교 국어 1-2교과서』(천재교육)	바탕글
천재교육(노미숙 외)	토끼전	저자 미상	고전소설	『토끼전』	추가 읽기 자료
천재교육(노미숙 외)	평창 동계 올림픽 유치전 연설	김연아	기타(연설문)	SBS 뉴스 누리집	추가 읽기 자료
천재교육(노미숙 외)	포근한 봄	오규원	현대시	『오규원 시 전집2』(문학과지성사)	바탕글
천재교육(노미숙 외)	프린들 주세요	앤드루 클레먼츠		『프린들 주세요』	추가 읽기 자료
천재교육(노미숙 외)	하늘은 맑건만	현덕	현대소설	《소년》	바탕글
천재교육(노미숙 외)	학생들이 음료수로 당류를 섭취하는 실태 조사 보고서	강태우, 김나연, 유희준, 이수현(학생글)	기타(보고서)	『중학교 국어 교과서 3-2』(천재교육)	학습활동 제재
천재교육(노미숙 외)	한옥	[[]]	기타	《두피디아》	학습활동 제재
천재교육(노미숙 외)	한옥의 형태	신광철	기타	《문화재 사랑》	학습활동 제재
천재교육(노미숙 외)	효율적인 난방법, 온돌	최준식		《세계가 감탄하는 우리 온돌》(마루벌)	학습활동 제재
천재교육(노미숙 외)	훈민가	정철	고전시가(시조)	『한국의 옛 시조』(범우사)	추가 읽기 자료
천재교육(노미숙 외)	흙을 밟고 싶다	문정희	현대수필	『바라보는 것만으로도 난 행복하다』(문학풍경)	추가 읽기 자료
천재교육(노미숙 외)	흥부전	저자 미상	고전소설	『흥부전』(현암사)	학습활동 제재
천재교육(박영목 외)	3월에 오는 눈	나태주	현대시	『꽃을 보듯 너를 본다』(지혜)	학습활동 제재
천재교육(박영목 외)	ㅋ(키읔)	장기하	현대시(가요)	『내 사랑에 노련한 사람이 어딨나요』(장기하와 얼굴들)	학습활동 제재
천재교육(박영목 외)	갈팡질팡, 내 마음이 자꾸 변해요	이정숙	현대수필	『꿈, 지금 꼭 정해야 하나요?』(팜파스)	추가 읽기 자료
천재교육(박영목 외)	개 기르지 맙시다	서민	현대수필	《경향신문》	학습활동 제재
천재교육(박영목 외)	거울	조은서(학생글)	현대소설	발표지 미상	바탕글
천재교육(박영목 외)	고무신	오영수	현대소설	《신천지》	바탕글
천재교육(박영목 외)	귀가 얇아서 큰일이야	저자 미상(교과서 집필진)	만화	『중학교 국어 1-1』(천재교육)	바탕글
천재교육(박영목 외)	그림자	문삼석	현대시	『우산 속』(아동문예사)	학습활동 제재
천재교육(박영목 외)	길모퉁이에서 만난 사람	양귀자	현대소설	『길모퉁이에서 만난 사람』(살림)	바탕글
천재교육(박영목 외)	까마귀 눈비 맞아	박팽년	고전시가(시조)	발표지 미상	바탕글
천재교육(박영목 외)	꺼삐딴 리	전광용	현대소설	《사상계》	바탕글
천재교육(박영목 외)	꽃	김춘수	현대시	《한국전후문제시집》	바탕글
천재교육(박영목 외)	나룻배와 행인	한용운	현대시	『님의 침묵』(회동서관)	추가 읽기 자료
천재교육(박영목 외)	나무들의 목욕	정현정	현대시	『씨앗 마중』(21문학과문화)	바탕글
천재교육(박영목 외)	내 마음	강미주(학생글)	현대시	발표지 미상	학습활동 제재
천재교육(박영목 외)	너에게 묻는다	안도현	현대시	『외롭고 높고 쓸쓸한』(문학동네)	추가 읽기 자료
천재교육(박영목 외)	너에게 하고 싶은 말 "안녕."	저자 미상(교과서 집필진)	현대소설	『중학교 국어 2-2』(천재교육)	학습활동 제재
천재교육(박영목 외)	도대체 왜 그럴까	김재덕(학생글)	현대시	발표지 미상	학습활동 제재
천재교육(박영목 외)	독은 아름답다	함민복	현대시	『모든 경계에는 꽃이 핀다』(창작과비평사)	바탕글
천재교육(박영목 외)	동백꽃	김유정	현대소설	《조광》	바탕글
천재교육(박영목 외)	동해 바다	신경림	현대시	『길』(창작과비평사)	바탕글
천재교육(박영목 외)	들판이 적막하다	정현종	현대시	『꽃 한송이』(문학과지성사)	바탕글
천재교육(박영목 외)	따뜻한 말	김지호(학생글)	현대시	발표지 미상	바탕글
천재교육(박영목 외)	딸기	이재무	현대시	『섣달 그믐』(천년의시작)	학습활동 제재
천재교육(박영목 외)	맛있는 책, 일생의 보약	성석제	현대수필	발표지 미상	바탕글
천재교육(박영목 외)	먼 후일	김소월	현대시	《학생계》	바탕글
천재교육(박영목 외)	모진 소리	황인숙	현대시	『자명한 산책』(문학과지성사)	바탕글
천재교육(박영목 외)	목소리	김윤경(학생글)	현대수필	『채식주의자라는 이름으로』(작은숲)	바탕글
천재교육(박영목 외)	박씨전	저자미상	고전소설	발표지 미상	학습활동 제재
천재교육(박영목 외)	발표하기 무서워요!	미나 뤼스타(손화수 옮김)	기타(동화)	발표지 미상	추가 읽기 자료
천재교육(박영목 외)	밥동무	이정윤(학생글)	현대시	발표지 미상	학습활동 제재
천재교육(박영목 외)	변비	김대현	현대시(가요)	『야심작』(노라조)	학습활동 제재
천재교육(박영목 외)	보물	강인봉 작사, 자전거 탄 풍경 노래	현대시(가요)	영화 "선생 김봉두" OST	학습활동 제재
천재교육(박영목 외)	보행	라일라	만화	《나는 귀머거리다》	추가 읽기 자료
천재교육(박영목 외)	불꽃 축제에서 화려하게 폭발하는 시민 의식	최지민	만화	《시선뉴스》	학습활동 제재
천재교육(박영목 외)	빌리 엘리엇	리 홀	시나리오	『빌리 엘리엇』(유니버셜 픽처스 인터내셔널 코리아)	추가 읽기 자료
천재교육(박영목 외)	빵집	이면우	현대시	《현대문학》	학습활동 제재
천재교육(박영목 외)	새로운 길	윤동주	현대시	『하늘과 바람과 별과 시』(정음사)	학습활동 제재
천재교육(박영목 외)	새싹 하나가 나기까지는	경종호	현대시	《문학동네》	추가 읽기 자료
천재교육(박영목 외)	새싹 하나가 나기까지는	경종호 원작, 한국문화예술위원회 제작	현대시	《사이버 문학 광장: 문학 집배원》	추가 읽기 자료
천재교육(박영목 외)	서당 일일 훈장이 된 김득신	김문태	기타	『세상을 바꾼 위대한 책벌레들 1』(뜨인돌어린이)	추가 읽기 자료
천재교육(박영목 외)	세 얼간이	애브히짓 조시, 라지쿠마르 히라니, 비두 비노드 초프라	시나리오	『세 얼간이』(릴라이언스 엔터테인먼트)	추가 읽기 자료
천재교육(박영목 외)	소나기	염일호	시나리오	KBS2	바탕글
천재교육(박영목 외)	소나기	황순원	현대소설	《신문학》	바탕글
천재교육(박영목 외)	소녀, 두드리다	양지윤 (학생글)	현대희곡	발표지 미상	바탕글
천재교육(박영목 외)	소망과 믿음의 노래	정호웅	현대비평	발표지 미상	바탕글
천재교육(박영목 외)	슬기에게	김유주(학생글)	현대수필	발표지 미상	바탕글
천재교육(박영목 외)	시계는 어떻게 달력을 이겼을까?	안광복	현대수필	『지리시간에 철학하기』(웅진주니어)	바탕글
천재교육(박영목 외)	시골 쥐와 도시 쥐- 빛 공해	환경부	기타(동화)	《환경부 환경동화》	학습활동 제재
천재교육(박영목 외)	안내를 부탁합니다	폴 빌라드	현대수필	『위그든 씨의 사탕가게』(문예출판사)	학습활동 제재
천재교육(박영목 외)	양반전	박지원	고전소설	『연암집』 제 8권 별집 「방경각외전」	바탕글
천재교육(박영목 외)	어린왕자	생텍쥐페리	현대소설	『어린왕자』(갈리마르)	학습활동 제재
천재교육(박영목 외)	어머니는 왜 숲속의 이슬을 털었을까	이순원	현대수필	『소년이 별을 주울때』(곰(웅진))	학습활동 제재
천재교육(박영목 외)	엄마 걱정	기형도	현대시	『입속의 검은 잎』(문학과지성사)	바탕글
천재교육(박영목 외)	오우가	윤선도	고전시가(시조)	『고산유고』	바탕글
천재교육(박영목 외)	우리말 사랑 1	서정홍	현대시	『58년 개띠』(보리)	학습활동 제재
천재교육(박영목 외)	의심이 많은 곰	김인명	기타(북한의 동화)	발표지 미상	학습활동 제재
천재교육(박영목 외)	이럴 땐 어떻게 말하는 것이 좋을까?	저자 미상(교과서 집필진)	만화	『중학교 국어 1-2』(천재교육)	바탕글
천재교육(박영목 외)	참 힘센 말	정진아	현대시	『엄마보다 이쁜 아이』(푸른책들)	학습활동 제재
천재교육(박영목 외)	청포도	이육사	현대시	《문장》	바탕글
천재교육(박영목 외)	코뿔소	최승호	현대시	『말놀이 동시집 2』(비룡소)	학습활동 제재
천재교육(박영목 외)	통일 학교의 쉬는 시간	안민경(학생글)	현대시	발표지 미상	학습활동 제재
천재교육(박영목 외)	프린들 주세요	앤드루 클레먼츠	현대소설	『프린들 주세요』(사계절)	학습활동 제재
천재교육(박영목 외)	하늘은 맑건만	현덕	현대소설	《소년》	바탕글
천재교육(박영목 외)	홍길동전	허균	고전소설	『홍길동전』	추가 읽기 자료
